,id,full_name,first_name,last_name,is_active
110,201202,Joel Anthony,Joel,Anthony,FALSE
111,203544,Pero Antic,Pero,Antic,FALSE
112,1628384,OG Anunoby,OG,Anunoby,TRUE
113,203951,Keith Appling,Keith,Appling,FALSE
114,2737,Rafael Araujo,Rafael,Araujo,FALSE
115,76053,Stacey Arceneaux,Stacey,Arceneaux,FALSE
116,76054,Nate Archibald,Nate,Archibald,FALSE
117,2425,Robert Archibald,Robert,Archibald,FALSE
118,1627853,Ryan Arcidiacono,Ryan,Arcidiacono,TRUE
119,76055,Jim Ard,Jim,Ard,FALSE
120,2240,Gilbert Arenas,Gilbert,Arenas,FALSE
121,2772,Trevor Ariza,Trevor,Ariza,TRUE
122,76056,Paul Arizin,Paul,Arizin,FALSE
123,76057,Joe Arlauckas,Joe,Arlauckas,FALSE
124,769,B.J. Armstrong,B.J.,Armstrong,FALSE
125,76061,Bob Armstrong,Bob,Armstrong,FALSE
126,2220,Brandon Armstrong,Brandon,Armstrong,FALSE
127,353,Darrell Armstrong,Darrell,Armstrong,FALSE
128,200756,Hilton Armstrong,Hilton,Armstrong,FALSE
129,76060,Paul Armstrong,Paul,Armstrong,FALSE
130,76059,Tate Armstrong,Tate,Armstrong,FALSE
131,76062,Jesse Arnelle,Jesse,Arnelle,FALSE
132,76063,Jay Arnette,Jay,Arnette,FALSE
133,76064,Bob Arnzen,Bob,Arnzen,FALSE
134,2306,Carlos Arroyo,Carlos,Arroyo,FALSE
135,201589,Darrell Arthur,Darrell,Arthur,FALSE
136,76065,John Arthurs,John,Arthurs,FALSE
137,1628503,Jamel Artis,Jamel,Artis,FALSE
138,201600,Omer Asik,Omer,Asik,FALSE
139,355,Vincent Askew,Vincent,Askew,FALSE
140,173,Keith Askins,Keith,Askins,FALSE
141,76068,Don Asmonga,Don,Asmonga,FALSE
142,76069,Richard Atha,Richard,Atha,FALSE
143,1088,Chucky Atkins,Chucky,Atkins,FALSE
144,76070,Alvin Attles,Alvin,Attles,FALSE
145,76071,Chet Aubuchon,Chet,Aubuchon,FALSE
146,278,Stacey Augmon,Stacey,Augmon,FALSE
147,201571,D.J. Augustin,D.J.,Augustin,TRUE
148,200788,James Augustine,James,Augustine,FALSE
149,1134,Ike Austin,Ike,Austin,FALSE
150,76073,John Austin,John,Austin,FALSE
151,76074,Ken Austin,Ken,Austin,FALSE
152,138,Anthony Avent,Anthony,Avent,FALSE
153,76076,William Averitt,William,Averitt,FALSE
154,1895,William Avery,William,Avery,FALSE
155,76078,Dennis Awtrey,Dennis,Awtrey,FALSE
156,202970,Gustavo Ayon,Gustavo,Ayon,FALSE
157,201965,Jeff Ayres,Jeff,Ayres,FALSE
158,1629028,Deandre Ayton,Deandre,Ayton,TRUE
159,101235,Kelenna Azubuike,Kelenna,Azubuike,FALSE
160,203569,Chris Babb,Chris,Babb,FALSE
161,202337,Luke Babbitt,Luke,Babbitt,FALSE
162,76079,Milos Babic,Milos,Babic,FALSE
163,76080,Johnny Bach,Johnny,Bach,FALSE
164,1628407,Dwayne Bacon,Dwayne,Bacon,TRUE
165,76081,Jim Baechtold,Jim,Baechtold,FALSE
166,2053,Dalibor Bagaric,Dalibor,Bagaric,FALSE
167,76082,John Bagley,John,Bagley,FALSE
168,1628963,Marvin Bagley III,Marvin,Bagley III,TRUE
169,76084,Carl Bailey,Carl,Bailey,FALSE
170,76083,Gus Bailey,Gus,Bailey,FALSE
171,76085,James Bailey,James,Bailey,FALSE
172,1847,Thurl Bailey,Thurl,Bailey,FALSE
173,1753,Toby Bailey,Toby,Bailey,FALSE
174,203946,Cameron Bairstow,Cameron,Bairstow,FALSE
175,1858,Mark Baker,Mark,Baker,FALSE
176,2486,Maurice Baker,Maurice,Baker,FALSE
177,76089,Norm Baker,Norm,Baker,FALSE
178,1627758,Ron Baker,Ron,Baker,FALSE
179,452,Vin Baker,Vin,Baker,FALSE
180,1627735,Wade Baldwin IV,Wade,Baldwin IV,FALSE
181,200764,Renaldo Balkman,Renaldo,Balkman,FALSE
182,76090,Cedric Ball,Cedric,Ball,FALSE
183,1628366,Lonzo Ball,Lonzo,Ball,TRUE
184,76091,Greg Ballard,Greg,Ballard,FALSE
185,76092,Herschel Baltimore,Herschel,Baltimore,FALSE
186,1628964,Mo Bamba,Mo,Bamba,TRUE
187,76093,Gene Banks,Gene,Banks,FALSE
188,2556,Marcus Banks,Marcus,Banks,FALSE
189,76094,Ken Bannister,Ken,Bannister,FALSE
190,76095,Mike Bantom,Mike,Bantom,FALSE
191,76096,John Barber,John,Barber,FALSE
192,2571,Leandro Barbosa,Leandro,Barbosa,FALSE
193,76097,Stephen Bardo,Stephen,Bardo,FALSE
194,200826,J.J. Barea,J.J.,Barea,TRUE
195,200745,Andrea Bargnani,Andrea,Bargnani,FALSE
196,76098,Cliff Barker,Cliff,Barker,FALSE
197,76099,Tom Barker,Tom,Barker,FALSE
198,787,Charles Barkley,Charles,Barkley,FALSE
199,2057,Erick Barkley,Erick,Barkley,FALSE
200,76102,Don Barksdale,Don,Barksdale,FALSE
201,203084,Harrison Barnes,Harrison,Barnes,TRUE
202,76103,Harry Barnes,Harry,Barnes,FALSE
203,76105,Jim Barnes,Jim,Barnes,FALSE
204,76104,Marvin Barnes,Marvin,Barnes,FALSE
205,2440,Matt Barnes,Matt,Barnes,FALSE
206,76107,Dick Barnett,Dick,Barnett,FALSE
207,76106,Jim Barnett,Jim,Barnett,FALSE
208,76108,John Barnhill,John,Barnhill,FALSE
209,76109,Norton Barnhill,Norton,Barnhill,FALSE
210,76110,Leo Barnhorst,Leo,Barnhorst,FALSE
211,76111,John Barr,John,Barr,FALSE
212,76112,Mike Barr,Mike,Barr,FALSE
213,76113,Thomas Barr,Thomas,Barr,FALSE
214,2857,Andre Barrett,Andre,Barrett,FALSE
215,76114,Ernie Barrett,Ernie,Barrett,FALSE
216,1629628,RJ Barrett,RJ,Barrett,TRUE
217,2853,Earl Barron,Earl,Barron,FALSE
218,344,Dana Barros,Dana,Barros,FALSE
219,699,Brent Barry,Brent,Barry,FALSE
220,1003,Drew Barry,Drew,Barry,FALSE
221,468,Jon Barry,Jon,Barry,FALSE
222,600013,Rick Barry,Rick,Barry,FALSE
223,76117,Ed Bartels,Ed,Bartels,FALSE
224,76118,Vic Bartolome,Vic,Bartolome,FALSE
225,203115,Will Barton,Will,Barton,TRUE
226,101188,Eddie Basden,Eddie,Basden,FALSE
227,76119,Jerry Baskerville,Jerry,Baskerville,FALSE
228,101138,Brandon Bass,Brandon,Bass,FALSE
229,76120,Tim Bassett,Tim,Bassett,FALSE
230,1766,Maceo Baston,Maceo,Baston,FALSE
231,2370,Mengke Bateer,Mengke,Bateer,FALSE
232,76121,Billyray Bates,Billyray,Bates,FALSE
233,1628966,Keita Bates-Diop,Keita,Bates-Diop,TRUE
234,101212,Esteban Batista,Esteban,Batista,FALSE
235,2471,Mike Batiste,Mike,Batiste,FALSE
236,1499,Tony Battie,Tony,Battie,FALSE
237,2203,Shane Battier,Shane,Battier,FALSE
238,174,John Battle,John,Battle,FALSE
239,76123,Kenny Battle,Kenny,Battle,FALSE
240,76124,Dave Batton,Dave,Batton,FALSE
241,201587,Nicolas Batum,Nicolas,Batum,TRUE
242,76125,Johnny Baum,Johnny,Baum,FALSE
243,76126,Frankie Baumholtz,Frankie,Baumholtz,FALSE
244,2437,Lonny Baxter,Lonny,Baxter,FALSE
245,201573,Jerryd Bayless,Jerryd,Bayless,FALSE
246,76127,Elgin Baylor,Elgin,Baylor,FALSE
247,203382,Aron Baynes,Aron,Baynes,TRUE
248,76128,Sergei Bazarevich,Sergei,Bazarevich,FALSE
249,203145,Kent Bazemore,Kent,Bazemore,TRUE
250,1629647,Darius Bazley,Darius,Bazley,TRUE
251,76129,Ed Beach,Ed,Beach,FALSE
252,203078,Bradley Beal,Bradley,Beal,TRUE
253,76130,Butch Beard,Butch,Beard,FALSE
254,76131,Ralph Beard,Ralph,Beard,FALSE
255,2602,Jerome Beasley,Jerome,Beasley,FALSE
256,1627736,Malik Beasley,Malik,Beasley,TRUE
257,201563,Michael Beasley,Michael,Beasley,FALSE
258,76133,Zelmo Beaty,Zelmo,Beaty,FALSE
259,201958,Rodrigue Beaubois,Rodrigue,Beaubois,FALSE
260,76134,Byron Beck,Byron,Beck,FALSE
261,1133,Corey Beck,Corey,Beck,FALSE
262,76136,Ernie Beck,Ernie,Beck,FALSE
263,76137,Moe Becker,Moe,Becker,FALSE
264,76138,William Bedford,William,Bedford,FALSE
265,76139,Hank Beenders,Hank,Beenders,FALSE
266,76140,Ron Behagen,Ron,Behagen,FALSE
267,76141,Elmer Behnke,Elmer,Behnke,FALSE
268,201158,Marco Belinelli,Marco,Belinelli,TRUE
269,2294,Charlie Bell,Charlie,Bell,FALSE
270,76142,Dennis Bell,Dennis,Bell,FALSE
271,1628395,Jordan Bell,Jordan,Bell,TRUE
272,1952,Raja Bell,Raja,Bell,FALSE
273,2559,Troy Bell,Troy,Bell,FALSE
274,76143,William Bell,William,Bell,FALSE
275,76144,Walt Bellamy,Walt,Bellamy,FALSE
276,1627761,DeAndre' Bembry,DeAndre',Bembry,TRUE
277,76145,Irv Bemoras,Irv,Bemoras,FALSE
278,76146,Leon Benbow,Leon,Benbow,FALSE
279,1627733,Dragan Bender,Dragan,Bender,TRUE
280,1886,Jonathan Bender,Jonathan,Bender,FALSE
281,203968,Jerrelle Benimon,Jerrelle,Benimon,FALSE
282,104,Benoit Benjamin,Benoit,Benjamin,FALSE
283,1736,Corey Benjamin,Corey,Benjamin,FALSE
284,203461,Anthony Bennett,Anthony,Bennett,FALSE
285,1120,Elmer Bennett,Elmer,Bennett,FALSE
286,712,Mario Bennett,Mario,Bennett,FALSE
287,76151,Mel Bennett,Mel,Bennett,FALSE
288,76148,Tony Bennett,Tony,Bennett,FALSE
289,76152,Winston Bennett,Winston,Bennett,FALSE
290,128,David Benoit,David,Benoit,FALSE
291,202728,Keith Benson,Keith,Benson,FALSE
292,76154,Kent Benson,Kent,Benson,FALSE
293,1627791,Ben Bentil,Ben,Bentil,FALSE
294,76155,Gene Berce,Gene,Berce,FALSE
295,76156,Gary Bergen,Gary,Bergen,FALSE
296,76157,Ricky Berry,Ricky,Berry,FALSE
297,76158,Walter Berry,Walter,Berry,FALSE
298,1629541,Dairis Bertans,Dairis,Bertans,FALSE
299,202722,Davis Bertans,Davis,Bertans,TRUE
300,76159,Del Beshore,Del,Beshore,FALSE
301,696,Travis Best,Travis,Best,FALSE
302,201976,Patrick Beverley,Patrick,Beverley,TRUE
303,204021,Sim Bhullar,Sim,Bhullar,FALSE
304,76160,Al Bianchi,Al,Bianchi,FALSE
305,76161,Hank Biasatti,Hank,Biasatti,FALSE
306,76162,Henry Bibby,Henry,Bibby,FALSE
307,1710,Mike Bibby,Mike,Bibby,FALSE
308,76163,Ed Biedenbach,Ed,Biedenbach,FALSE
309,2740,Andris Biedrins,Andris,Biedrins,FALSE
310,76164,Don Bielke,Don,Bielke,FALSE
311,76165,Bob Bigelow,Bob,Bigelow,FALSE
312,1497,Chauncey Billups,Chauncey,Billups,FALSE
313,76166,Dave Bing,Dave,Bing,FALSE
314,76167,Joe Binion,Joe,Binion,FALSE
315,203920,Khem Birch,Khem,Birch,TRUE
316,1628444,Jabari Bird,Jabari,Bird,FALSE
317,76168,Jerry Bird,Jerry,Bird,FALSE
318,1449,Larry Bird,Larry,Bird,FALSE
319,76170,Otis Birdsong,Otis,Birdsong,FALSE
320,76171,Gale Bishop,Gale,Bishop,FALSE
321,1629048,Goga Bitadze,Goga,Bitadze,TRUE
322,202687,Bismack Biyombo,Bismack,Biyombo,TRUE
323,202357,Nemanja Bjelica,Nemanja,Bjelica,TRUE
324,76172,Uwe Blab,Uwe,Blab,FALSE
325,76173,Charlie Black,Charlie,Black,FALSE
326,76174,Norman Black,Norman,Black,FALSE
327,204028,Tarik Black,Tarik,Black,FALSE
328,76175,Tom Black,Tom,Black,FALSE
329,76176,Rolando Blackman,Rolando,Blackman,FALSE
330,76180,Alex Blackwell,Alex,Blackwell,FALSE
331,76177,Cory Blackwell,Cory,Blackwell,FALSE
332,1806,James Blackwell,James,Blackwell,FALSE
333,76179,Nate Blackwell,Nate,Blackwell,FALSE
334,201971,DeJuan Blair,DeJuan,Blair,FALSE
335,2581,Steve Blake,Steve,Blake,FALSE
336,202392,Marqus Blakely,Marqus,Blakely,FALSE
337,1628469,Antonio Blakeney,Antonio,Blakeney,FALSE
338,200807,Will Blalock,Will,Blalock,FALSE
